Date,AverageTemperature,AverageTemperatureUncertainty,AverageAnomaly
1977-02-01,0.2709999999999999,0.226,1.8328666666666666
1977-03-01,2.918,0.128,0.3855333333333335
1977-04-01,9.153,0.126,0.9490666666666652
1977-05-01,14.556,0.198,0.7445666666666693
1977-06-01,19.741,0.172,0.9947666666666635
1977-07-01,22.083,0.246,0.6058000000000057
1977-08-01,20.909,0.213,0.40556666666666885
1977-09-01,17.025,0.173,0.669433333333334
1977-10-01,9.815,0.133,-0.20813333333333262
1977-11-01,2.694,0.054,-0.11723333333333397
1977-12-01,-2.326,0.193,-0.20400000000000063
1978-01-01,-4.646000000000001,0.223,-1.1193333333333344
1978-02-01,-3.857,0.215,-2.2951333333333332
1978-03-01,2.819,0.194,0.2865333333333333
1978-04-01,8.736,0.199,0.5320666666666654
1978-05-01,13.89,0.151,0.07856666666667067
1978-06-01,18.872,0.216,0.1257666666666637
1978-07-01,21.733,0.236,0.2558000000000078
1978-08-01,20.653,0.266,0.14956666666666862
1978-09-01,17.028,0.083,0.6724333333333341
1978-10-01,9.73,0.151,-0.2931333333333317
1978-11-01,3.1860000000000004,0.238,0.37476666666666647
1978-12-01,-3.127,0.28,-1.0050000000000003
1979-01-01,-6.62,0.247,-3.0933333333333337
1979-02-01,-5.276,0.158,-3.714133333333333
1979-03-01,3.175,0.193,0.6425333333333332
1979-04-01,7.974,0.265,-0.2299333333333351
1979-05-01,13.758,0.252,-0.05343333333333078
1979-06-01,18.514,0.155,-0.23223333333333684
1979-07-01,21.439,0.148,-0.038199999999992684
1979-08-01,20.371,0.281,-0.1324333333333314
1979-09-01,17.086,0.072,0.7304333333333339
1979-10-01,10.821,0.086,0.7978666666666676
1979-11-01,2.972,0.139,0.16076666666666606
1979-12-01,-1.355,0.161,0.7669999999999995
1980-01-01,-3.5170000000000003,0.134,0.009666666666666046
1980-02-01,-1.325,0.12,0.23686666666666678
1980-03-01,2.073,0.124,-0.4594666666666667
1980-04-01,8.601,0.225,0.39706666666666557
1980-05-01,14.167,0.152,0.3555666666666699
1980-06-01,18.939,0.178,0.19276666666666387
1980-07-01,22.544,0.227,1.0668000000000077
1980-08-01,20.776,0.193,0.27256666666666973
1980-09-01,16.791,0.094,0.4354333333333358
1980-10-01,9.348,0.117,-0.6751333333333314
1980-11-01,3.42,0.063,0.608766666666666
1980-12-01,-2.191,0.112,-0.0690000000000004
1981-01-01,-0.9960000000000004,0.187,2.530666666666666
1981-02-01,0.0219999999999998,0.189,1.5838666666666665
1981-03-01,4.221,0.112,1.6885333333333334
1981-04-01,10.178,0.19,1.9740666666666655
1981-05-01,13.88,0.157,0.06856666666667088
1981-06-01,19.467,0.291,0.7207666666666626
1981-07-01,21.562,0.252,0.08480000000000842
1981-08-01,20.495,0.124,-0.008433333333329074
1981-09-01,16.223,0.12,-0.1325666666666656
1981-10-01,9.072,0.177,-0.9511333333333329
1981-11-01,4.343999999999999,0.118,1.5327666666666655
1981-12-01,-1.81,0.201,0.3119999999999994
1982-01-01,-5.792999999999999,0.141,-2.266333333333333
1982-02-01,-2.141,0.14,-0.5791333333333333
1982-03-01,3.048,0.156,0.5155333333333334
1982-04-01,6.7360000000000015,0.09,-1.4679333333333338
1982-05-01,14.001,0.183,0.18956666666666955
1982-06-01,17.84,0.225,-0.9062333333333363
1982-07-01,21.383000000000003,0.231,-0.09419999999999007
1982-08-01,20.56,0.072,0.05656666666666865
1982-09-01,16.061,0.109,-0.29456666666666464
1982-10-01,8.802,0.075,-1.2211333333333325
1982-11-01,2.43,0.219,-0.38123333333333376
1982-12-01,-0.4530000000000001,0.201,1.6689999999999994
1983-01-01,-2.596,0.198,0.9306666666666663
1983-02-01,0.026,0.202,1.5878666666666668
1983-03-01,3.227,0.19,0.6945333333333332
1983-04-01,6.625,0.11,-1.5789333333333353
1983-05-01,13.011,0.183,-0.8004333333333307
1983-06-01,18.284,0.251,-0.46223333333333727
1983-07-01,21.787,0.179,0.3098000000000063
1983-08-01,21.763,0.128,1.2595666666666716
1983-09-01,16.346,0.133,-0.009566666666664503
1983-10-01,9.854,0.178,-0.1691333333333329
1983-11-01,3.759,0.1669999999999999,0.947766666666666
1983-12-01,-5.138,0.27,-3.0160000000000005
1984-01-01,-4.207,0.155,-0.6803333333333335
1984-02-01,-1.015,0.11,0.5468666666666668
1984-03-01,2.553,0.161,0.020533333333333292
1984-04-01,7.175000000000002,0.122,-1.0289333333333337
1984-05-01,13.769,0.089,-0.04243333333332977
1984-06-01,19.035,0.125,0.28876666666666395
1984-07-01,21.264,0.287,-0.2131999999999934
1984-08-01,20.886,0.211,0.38256666666666916
1984-09-01,15.677,0.138,-0.678566666666665
1984-10-01,9.514,0.171,-0.5091333333333328
1984-11-01,2.373,0.21,-0.4382333333333337
1984-12-01,-1.2899999999999998,0.182,0.8319999999999996
1985-01-01,-4.019,0.171,-0.49233333333333373
1985-02-01,-3.455,0.12,-1.8931333333333333
1985-03-01,3.677,0.077,1.1445333333333334
1985-04-01,8.709,0.257,0.5050666666666643
1985-05-01,14.656,0.211,0.8445666666666707
1985-06-01,18.462,0.308,-0.28423333333333645
1985-07-01,21.758000000000003,0.218,0.28080000000000993
1985-08-01,20.02,0.202,-0.4834333333333305
1985-09-01,15.271,0.224,-1.0845666666666638
