co2,co2_growth_abs,share_global_co2,coal_co2,cement_co2,gas_co2,oil_co2,co2_per_capita,coal_co2_per_capita,cement_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,flaring_co2_per_capita,share_global_coal_co2,share_global_cement_co2,share_global_gas_co2,share_global_oil_co2,population,gdp
5078.89,-49.411,21.92,1824.984,32.736,1056.003,2100.315,19.953,7.17,0.129,4.149,8.251,0.162,21.12,6.38,26.81,21.71,254539371.0,9243499104827.13
5182.707,103.817,23.09,1847.861,32.993,1090.369,2146.957,20.167,7.19,0.128,4.243,8.354,0.16,21.94,6.17,27.49,23.44,256990608.0,9572148077262.13
5283.438,100.731,23.29,1905.843,34.838,1118.179,2160.775,20.358,7.343,0.134,4.308,8.326,0.158,22.36,6.27,27.44,23.53,259532130.0,9834941438742.81
5377.033,93.595,23.54,1918.526,36.31,1145.002,2211.907,20.504,7.316,0.138,4.366,8.435,0.156,22.38,6.13,27.85,23.99,262241204.0,10232022095755.9
5438.906,61.873,23.31,1940.608,37.075,1193.892,2200.539,20.512,7.318,0.14,4.502,8.299,0.149,22.0,5.92,28.29,23.62,265163740.0,10510263403545.8
5626.912,188.006,23.4,2022.165,37.309,1214.306,2286.547,20.97,7.536,0.139,4.525,8.521,0.142,22.38,5.84,27.56,23.76,268335007.0,10909166962298.9
5703.707,76.795,23.58,2065.128,38.561,1222.398,2311.174,20.992,7.6,0.142,4.499,8.506,0.141,22.98,5.86,27.64,23.65,271713634.0,11398757037580.9
5751.052,47.345,23.85,2092.951,39.461,1200.301,2353.22,20.9,7.606,0.143,4.362,8.552,0.131,23.92,6.03,26.7,23.84,275175309.0,11906028764803.4
5830.298,79.246,23.86,2098.854,40.239,1203.575,2422.489,20.931,7.535,0.144,4.321,8.697,0.129,24.18,5.88,26.0,23.97,278548148.0,12463819225180.0
5998.07,167.773,23.88,2180.201,41.445,1257.24,2456.528,21.292,7.739,0.147,4.463,8.72,0.129,24.23,5.79,26.49,23.89,281710914.0,12973842114208.7
5900.437,-97.634,23.29,2113.055,41.613,1204.269,2479.825,20.732,7.424,0.146,4.231,8.713,0.127,23.35,5.57,25.13,23.92,284607992.0,13100471023245.5
5942.652,42.216,22.93,2117.5,43.164,1244.273,2474.571,20.686,7.371,0.15,4.331,8.614,0.128,22.44,5.48,25.2,23.89,287279312.0,13334491259387.6
5991.96,49.307,22.05,2156.963,43.349,1210.661,2519.194,20.675,7.442,0.15,4.177,8.692,0.126,21.13,5.12,23.71,23.72,289815567.0,13708809342467.6
6107.618,115.659,21.45,2190.997,45.886,1217.122,2589.524,20.891,7.494,0.157,4.163,8.858,0.127,20.14,5.07,23.08,23.56,292354663.0,14227881723039.1
6131.893,24.275,20.85,2213.697,46.194,1198.933,2607.134,20.786,7.504,0.157,4.064,8.838,0.127,19.19,4.82,22.2,23.55,294993509.0,14703731926204.1
6051.051,-80.842,19.92,2181.212,46.851,1182.306,2572.543,20.322,7.325,0.157,3.971,8.64,0.128,17.89,4.48,21.4,23.05,297758977.0,15095883825899.2
6128.43,77.379,19.58,2204.959,45.509,1257.702,2552.281,20.387,7.335,0.151,4.184,8.49,0.128,17.26,4.06,22.02,22.74,300608425.0,15364464463208.4
5930.54,-197.89,18.56,2171.036,41.416,1267.556,2382.246,19.541,7.154,0.136,4.177,7.85,0.132,16.37,3.64,21.58,21.27,303486022.0,15319730510090.9
5491.036,-439.504,17.45,1902.137,29.615,1247.52,2247.612,17.926,6.21,0.097,4.073,7.338,0.128,14.52,2.54,21.64,20.45,306307565.0,14894294049817.7
5698.056,207.02,17.2,2010.567,31.449,1308.65,2275.388,18.44,6.506,0.102,4.235,7.363,0.135,14.43,2.53,21.09,20.16,309011469.0,15270621692550.6
5565.294,-132.761,16.27,1900.913,32.208,1327.292,2229.306,17.861,6.101,0.103,4.26,7.155,0.148,12.89,2.41,20.83,19.74,311584051.0,15509302195602.5
5367.569,-197.726,15.44,1682.603,35.27,1388.114,2182.229,17.092,5.358,0.112,4.42,6.949,0.157,11.29,2.57,21.36,18.94,314043885.0,15849635251847.4
5514.029,146.461,15.76,1739.503,36.369,1427.472,2224.935,17.427,5.498,0.115,4.512,7.032,0.174,11.66,2.55,21.82,19.13,316400539.0,16108428789894.6
5561.719,47.69,15.78,1732.212,39.439,1455.405,2242.391,17.453,5.436,0.124,4.567,7.037,0.189,11.59,2.66,22.08,19.09,318673422.0,16482662331867.2
5412.432,-149.287,15.37,1503.253,39.907,1497.933,2278.794,16.868,4.685,0.124,4.668,7.102,0.193,10.28,2.79,22.15,19.13,320878312.0,16902578824808.6
5292.268,-120.165,15.03,1378.16,39.439,1509.03,2285.33,16.384,4.266,0.122,4.672,7.075,0.164,9.59,2.69,21.74,19.09,323015992.0,17162557226290.5
5253.606,-38.661,14.72,1337.536,40.324,1491.792,2301.967,16.161,4.114,0.124,4.589,7.081,0.169,9.28,2.73,20.97,18.91,325084758.0,17596283630286.2
5424.882,171.275,14.9,1282.052,40.324,1653.038,2350.087,16.585,3.92,0.123,5.054,7.185,0.22,8.77,2.66,22.07,19.18,327096263.0,18140645383318.5
5284.697,-140.185,14.5,1094.657,41.251,1706.873,2342.536,16.06,3.327,0.125,5.187,7.119,0.218,7.62,2.64,22.41,18.96,329064917.0,18140645383318.5
